C20679	QQ浏览器	产品特色： QQ浏览器安全、极速、省流量。 全新Blink内核，速度全面提升，带给您极速、流畅、稳定的上网体验； 集成腾讯安全管家安全检测，为网页浏览和购物支付、文件下载保驾护航。 全方位替您节省流量，妈妈再也不用担心你的流量账单了！  【游戏畅快玩】 游戏全：聚合全网火爆的游戏，独家预约首发精品游戏 种类多：
C2002	爱奇艺	爱奇艺全网独播：奔跑吧兄弟3!  【最新推荐】 《跑男3》全网独播：跑男团上演人车赛跑； 《芈月传奇》独播：跨越千年的爱恋史诗； 《废柴兄弟》独播：宋小宝教你玩微信； 《秦时明月》热播：救月失败少司命陨落； 《偶滴歌神啊第2季》：谢娜赞中国好闺蜜；  独播：奔跑吧兄弟3 废柴兄弟3 芈月传奇 偶滴歌神2 
C2022	搜狐新闻	---推荐理由--- 每3个人中就有1个人在使用搜狐新闻了解天下资讯； 每1秒钟就有100万+人与你同时在搜狐新闻阅读新鲜事； 每1天就有100+个火爆自媒体入驻搜狐新闻。 涵盖热点新闻、娱乐、科技、财经、股票、社会、旅游、时尚、体育、军事、汽车、生活 、情感、星座…….你可随时分享新闻资讯到微博、微信、朋友圈、QQ空间等社交平台。<
C10059090	华为游戏中心	华为游戏中心是华为公司提供的安卓游戏下载平台，所有游戏都经过专业的测评团队层层检测，为您推荐最安全质量最高的游戏内容， 目前我们有20万游戏聚众平台，个性化专题定制，和丰富多元的游戏礼包，还有游戏论坛供大家互动，华为游戏中心不单服务所有华为用户，还支持国内主流安卓机型。 新版本特性： 1、游戏动态： 一大波好游戏在此发布有奖活动、动态及攻略
C57236	今日头条	★用户量过3亿的新闻阅读客户端   ★占领AppStore新闻类榜首24个月   ★每天用户总在线时长超过7.2亿分钟   ★每天社交平台分享量达1000万次   ★5秒钟掌握你的新闻阅读兴趣点     你关心的，才是头条！《今日头条》会聪明地分析你的兴趣爱好，理解你的阅读行为，为你推荐
C32569	优酷	上海全国版5年级下册:上海版5年级下册-点读系列是一款针对提高英语听力能力进行设计的教材同步电子课本，独创点读模式训练，轻点屏幕，知识触手可得，让学习变被动为主动。课文同步点读，点击英文区域发音，自动单页循环，自动顺序播放模式，纯正英语，高清音质，内容与课本教材一模一样。老师在课堂上教的英语单词、句子、歌曲等课本知识，回家继续操练，巩固记忆。点读宝让你轻松学英语！        
C3466	酷狗音乐	【我是歌手第四季  正版首播】 2016年《我是歌手第四季》震撼归来，此前隐而不发的歌手阵容也揭开了神秘面纱，新一轮歌王大战正式打响！正版首播，无损原声免费下载，就在酷狗音乐。 【核心功能】 1. 更人性化的操作界面  界面全新设计，清新简洁，点划之间尽享畅爽体验；  2. 乐库体验大有不同  耳目一新的乐库，新歌速递、权
C5206	美团	【团购特点】 团购新用户1元吃喝玩乐，电影，酒店，外卖，美食，旅游优惠送；老用户名店抢购，大牌商家团购折上折； 精致美食，旅游团购，酒店预订，打折机票，特惠电影，在线买单，外卖立减，团购优惠根本停不下来！美团网，团购一次，美一次，专业品质团购网，团购、美食、酒店、旅游、机票、火车票、外卖、电影、KTV应有尽有！   情侣约会，看电影，住酒店，吃大
C20911	高德地图 	高德地图 :国内专业的手机地图，超过3.2亿用户在使用！高德地图是应用商店上数据准确率高、省流量、躲避拥堵功能强大的手机地图，平均每天为用户省油61万升！ 高德地图作为苹果中国地图数据独家供应商，深耕地图领域12年，专注数字地图内容、导航和位置服务解决方案。  我们能为您提供准确的位置信息 -地点、道路数据值得信赖 -定位精准，误差率低  
C10067631	华为手机服务	华为手机服务:“手机服务”为华为手机用户提供立体在线服务，集成智能问答、用户指南、服务网点、花粉论坛等必备服务，旨在为用户提供统一的手机售后服务入口，帮助用户便捷定位和快速解决问题，让您安心、省心、放心地使用华为手机。 主要功能： 1、华为会员：华为提供给终端消费者的一项增值服务，是消费者尊贵身份的象征。会员可享受专属售后服务、VIP客服、应用和游戏特权、生活
